id,category_id,question_id,question_number,question_text,check_box,block_number,block_text,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,site
12,1,1_3,3,What makes you feel safe with someone?,TRUE,3,Kind of a Couple,C,C. No games. No signals. Just real.,"C. You feel safest with people who are real. No status tricks, no disappearing acts—just honesty and consistency.",Games aren’t romantic. Clarity is. Keep choosing people who show up clearly—your peace is worth more than their mystery.,Emotional Safety,,teen
13,1,1_3,3,What makes you feel safe with someone?,TRUE,3,Kind of a Couple,OTHER,Also this:,,,,,teen
14,1,1_4,4,"Which meet-cute(s) would you totally fall for?
(Pick all that make your heart do the thing 💘)",TRUE,1,Do They Like Me?,A,A. Reaching for the same book at a bookstore,,,,,teen
15,1,1_4,4,What’s your ideal meet-cute?,TRUE,1,Do They Like Me?,B,"B. Bumping into each other at a concert, literally",,,,,teen
16,1,1_4,4,What’s your ideal meet-cute?,TRUE,1,Do They Like Me?,C,C. Wrong text that turns into a real convo,,,,,teen
17,1,1_4,4,What’s your ideal meet-cute?,TRUE,1,Do They Like Me?,D,D. Assigned to sit next to each other in class,,,,,teen
18,1,1_4,4,What’s your ideal meet-cute?,TRUE,1,Do They Like Me?,OTHER,Write your own plot twist.,,,,,teen
19,1,1_5,5,"Real love isn’t about perfect.
It’s about the little weird things that make someone feel weirdly right.
What’s your crush ick you secretly find cute?",TRUE,3,Kind of a Couple,A,A. Laughs at their own jokes,,,,,teen
20,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,3,Kind of a Couple,B,B. Gets weird saying hi. Still tries.,,,,,teen
21,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,3,Kind of a Couple,C,C. Awful at texting. Sends novels out of nowhere.,,,,,teen
22,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,3,Kind of a Couple,D,D. That one hoodie? Always. Still cute.,,,,,teen
23,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,3,Kind of a Couple,OTHER,Else,,,,,teen
24,1,1_6,6,What do you imagine when you think about your first love?,TRUE,1,Do They Like Me?,A,A. All touch. All spark. Like we don’t need anyone else.,A. You’re not looking for ordinary. You want a love that stirs something deep—something you can feel in both your body and your heart.,"Big feelings don’t make you naive. Just make sure the closeness feels safe, mutual, and kind. Real love doesn’t just feel intense—it feels good after the moment passes, too.",,,teen
25,1,1_6,6,What do you imagine when you think about your first love?,TRUE,1,Do They Like Me?,B,B. Someone who sees me. We both grow.,"B. You’re imagining love as partnership. A steady bond where you’re seen, challenged, and supported. You want something real—not just romantic.","That kind of love takes time, trust, and truth. Don’t rush it. Keep growing into yourself—and you’ll attract someone who’s doing the same.",Romantic Expectations,,teen
26,1,1_6,6,What do you imagine when you think about your first love?,TRUE,1,Do They Like Me?,C,C. A sign that I’m lovable—something to show others I’m not left out.,C. You’re not just dreaming of someone—you’re dreaming of being chosen. Of not being the only one without a hand to hold.,"It’s human to want proof that you matter. But love isn’t a trophy. The more you believe you’re enough without it, the more likely it finds you for the right reasons.",Romantic Expectations,,teen
27,1,1_6,6,What do you imagine when you think about your first love?,TRUE,1,Do They Like Me?,D,"D. Freedom from my family—a way to feel older, more in control of my life. ","D. For you, love feels like a ticket out. Not just romance—but independence, a chance to start living on your terms.","Wanting freedom is real—and love can feel like a way out. But if you never had space to find your voice at home, a relationship won’t magically give it to you. Build that voice now, so love adds to your life, not replaces it.",Romantic Expectations,,teen
28,1,1_6,6,What do you imagine when you think about your first love?,TRUE,1,Do They Like Me?,OTHER,"None of these, but something.
",,,,,teen
29,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,1,Do They Like Me?,A,A. “You make me want to be better.”,,,,,teen
30,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,1,Do They Like Me?,B,B. “It’s always been you.”,,,,,teen
31,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,1,Do They Like Me?,C,C. “I didn’t know what home felt like until you.”,,,,,teen
32,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,1,Do They Like Me?,D,D. “I like you exactly as you are.”,,,,,teen
33,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,1,Do They Like Me?,OTHER,Other,,,,,teen
34,1,1_8,8,How do you act when your crush is nearby?,TRUE,1,Do They Like Me?,A,"A. I avoid eye contact, freeze up, or pretend I don’t notice them.",A. You’re protecting your heart—and that makes sense. Sometimes just surviving the moment feels like a win.,"You’re not wrong for playing it safe. But even a small step—a glance, a smile—can start to make space for something better.",Romantic Reactions,,teen
35,1,1_8,8,How do you act when your crush is nearby?,TRUE,1,Do They Like Me?,B,B. I act normal or try to be friendly—maybe say hi or ask something casual.,"B. You’re doing your version of brave. Calm on the outside, maybe nervous underneath—but still showing up. That’s real strength.","Keep trusting those tiny steps. Whether it’s a smile, a wave, or just not panicking—you’re building something steady inside—courage, calm, trust. That matters.",Romantic Reactions,,teen
36,1,1_8,8,How do you act when your crush is nearby?,TRUE,1,Do They Like Me?,C,C. I get louder or funnier without even realizing it.,C. You’re turning up the volume on your charm.,🎭 Just make sure it feels like you—not just a performance.,Romantic Reactions,,teen
37,1,1_8,8,How do you act when your crush is nearby?,TRUE,1,Do They Like Me?,D,D. I over analyze everything I say—or don’t say.,D.  Your brain is trying to protect your heart.,🧠 Try focusing on what you’re curious about in them—not just how you sound.,,,teen
38,1,1_8,8,How do you act when your crush is nearby?,TRUE,1,Do They Like Me?,OTHER,My version:,,,,,teen
39,1,1_9,9,How do you show someone you like them? [playlist:Love],TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,"A. I hover nearby—walk past, sit close, save a spot. Hope they load the hint.","A. You don’t say much, but you orbit. You put yourself in their line of sight and hope the feeling shows—even if your words don’t.","There’s nothing wrong with being subtle. But if you want to be seen for real, try moving from background to hello. You don’t have to do it perfectly—just honestly.",Crush Expression,,teen
40,1,1_9,9,How do you show someone you like them?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,"B. I ask stuff, clock details, and try to show up when it hits different.","B. You show care by noticing—what they like, how they feel, what matters to them. That kind of presence is rare.",Listening well is how some people say ‘I like you’ without using words. Just make sure your voice gets heard too. Real connection means both people get to be known.,Crush Expression,,teen
41,1,1_9,9,How do you show someone you like them?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",C,"C. I bring snacks, drop small gifts. Mostly to pretend I’m chill.","C. You show how you feel with quiet actions—offering a pen, saving your best chips, writing their name on a little note. You’re not saying it out loud, but you’re making it clear.","Giving is beautiful. But so is naming what you feel. Love’s a loop—and you get to speak, not just give.",Crush Expression,,teen
42,1,1_9,9,How do you show someone you like them?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",OTHER,Other,,,,,teen
43,1,1_10,10,What do you wish someone you like understood about you?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,"A. Feelings? Yeah, they’re in there. Just behind six layers of nope.",A. You feel the spark. But opening up feels risky.,You don’t have to say it all. Try: “Sometimes I care more than I admit.” It plants a truth gently.,,,teen
44,1,1_10,10,What do you wish someone you like understood about you?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,B. Like me for me—not just the highlight reel.,B. You’re not trying to impress—you’re trying to be seen.,"You could ask, “What do you actually like about me?” That answer might teach you everything.",,,teen
45,1,1_10,10,What do you wish someone you like understood about you?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",C,C. Not dating. Still wanna stand close in a hallway for no reason.,C. Closeness without labels is still real.,Try: “I like talking to you—I just want to take things slow.” That’s honesty with care.,,,teen
46,1,1_10,10,What do you wish someone you like understood about you?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",D,D. I care deeply. I just express it weird.,D. You’re more action than talk—and that’s valid.,"Start small: “I don’t always say stuff right, but I mean it.” That’s a feeling in disguise.",,,teen
47,1,1_10,10,What do you wish someone you like understood about you?,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",OTHER,More:,,,,,teen
48,1,1_11,11,"What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?
You’re not asking for too much. You’re just done playing chill when you need real.",TRUE,3,Kind of a Couple,A,A. They call me sensitive instead of listening.,"
",,,,teen
49,1,1_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,3,Kind of a Couple,B,B. They’re sweet and affectionate—but avoid deeper connection,,,,,teen
50,1,1_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,3,Kind of a Couple,C,C. They flirt with others ,,,,,teen
51,1,1_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,3,Kind of a Couple,D,D. Go quiet the second things get real.,,,,,teen
52,1,1_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,3,Kind of a Couple,E,E. Make me feel clingy for wanting actual connection.,,,,,teen
53,1,1_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?,TRUE,3,Kind of a Couple,OTHER,Other,,,,,teen
54,1,1_12,12,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters.
When your crush likes someone else",TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,A. Scheduled a breakdown. Showed up on time.,,,,,teen
55,1,1_12,12,When your crush likes someone else,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,B. Sent a dramatic text. No follow-up.,,,,,teen
56,1,1_12,12,When your crush likes someone else,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",C,C. I’m moving on. One doom scroll at a time.,,,,,teen
57,1,1_12,12,When your crush likes someone else,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",D,D. Turned it into fiction. Gave myself the better ending.,"You turned heartbreak into humor—and that’s more than coping. That’s transformation.
Keep writing. Keep flipping the script. You deserve a story too.",,,,teen
58,1,1_12,12,When your crush likes someone else,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",E,E. I healed via carbs. No notes.,,,,,teen
59,1,1_12,12,When your crush likes someone else,TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",OTHER,Other,,,,,teen
60,1,1_13,13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments.
You don’t need to do it perfectly. Just honestly.

What made your old love finally feel… less loud?",TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",A,A. Time,,,The Replayer (Overthinker),,teen
61,1,1_13,13,What made your old love finally feel… less loud?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",B,"B. Journal, meditation, self-reflection and fully process my emotions, forgiveness, and gratitude",,,,,teen
62,1,1_13,13,What made your old love finally feel… less loud?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",C,"C. Talking to friends, family members, and/or therapists",,,,,teen
63,1,1_13,13,What made your old love finally feel… less loud?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",D,D. Someone new,,,Romantic Heartbreak,,teen
64,1,1_13,13,What made your old love finally feel… less loud?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",E,"E.  A new chapter in life outside romance.  I poured energy back into myself—my goals, my joy, my life. ",,,Romantic Heartbreak,,teen
65,1,1_13,13,What made your old love finally feel… less loud?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",OTHER,Other,,,,,teen
66,1,1_14,14,"If someone likes you but you don’t feel the same, what do you do?",TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",A,A. I fade like Wi-Fi in a tunnel.,"A. Rejecting someone feels heavy. You don’t want to hurt them, so you disappear instead—hoping they’ll get the message without pain.","Backing off feels easier, but it can leave more confusion. A kind, simple “I don’t feel the same” can be a relief, not a wound. You’re allowed to say no—and still be good.",Romantic Boundaries,,teen
67,1,1_14,14,"If someone likes you but you don’t feel the same, what do you do?",TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",B,"B. I hit them with the “You’re great, but not like that” speech.","B. You handle hard things with care—and that takes maturity. You’re not cruel, just clear. That’s rare and really respectful.",Staying kind while being honest is a gift to you and them. You’re showing someone how to be treated—with dignity and clarity. That’s worth practicing.,Romantic Boundaries,,teen
68,1,1_14,14,"If someone likes you but you don’t feel the same, what do you do?",TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",C,C. I joke through it so no one cries. Especially me.,C. You dodge the drama with humor or distance. It helps take the sting out—for them and you. But that doesn’t mean you don’t care.,"Laughter’s a tool, but don’t use it to erase someone’s feelings—or your own discomfort. A gentle truth lands better than a shrug dressed as a joke.",Romantic Boundaries,,teen
69,1,1_14,14,"If someone likes you but you don’t feel the same, what do you do?",TRUE,2,"Small Moves, Big Feels
🎵[playlist:Love]",OTHER,Other,,,,,teen
70,1,1_15,15,"If someone told you 'I love you' way too early, what would you do?",TRUE,1,Do They Like Me?,A,A. I glitch. Then change the topic like nothing happened.,A. You weren’t ready for that level—and your brain hit pause. Totally normal. Not everything needs an instant answer.,"It’s okay to stall when something feels too big. Just be honest later, when you’ve had a chance to think. You’re allowed to take your time.",Romantic Intensity,,teen
71,1,1_15,15,"If someone told you 'I love you' way too early, what would you do?",TRUE,1,Do They Like Me?,B,B. “Whoa. Let’s slow this whole thing way down.”,"B. You handled it with grace. You’re open—but also grounded, and you know love isn’t just words—it’s time and trust.",Keep trusting your pace. Boundaries aren’t rejection—they’re clarity. And that can actually deepen real connection.,Romantic Intensity,,teen
72,1,1_15,15,"If someone told you 'I love you' way too early, what would you do?",TRUE,1,Do They Like Me?,C,"C. Say “sorry, I’m not feeling it like that” and pull away.","C. You don’t mess around—and that’s power. If someone skips the getting-to-know-you part, you make sure they don’t skip you.",Just make sure your fire leaves room for curiosity too. Sometimes people say big things clumsily. A second look might surprise you.,Romantic Intensity,,teen
73,1,1_15,15,"If someone told you 'I love you' way too early, what would you do?",TRUE,1,Do They Like Me?,OTHER,None of these. What I did:,,,,,teen
74,1,1_16,16,"Ghosting doesn’t mean you’re unworthy—it means they didn’t know how to show up.
You don’t have to carry their silence like it’s your fault.

If someone ghosted you, what would you tell yourself?",TRUE,4,"Ghosts, Gaps & Goodbyes",A,A. Maybe they’re just busy. I don’t want to jump to the worst story.,A.That’s a calm and generous way to think. You’re giving them space without jumping to hurtful conclusions. That takes maturity.,"Ghosting often says more about them than you. If you’re left in the dark, don’t light it with self-blame. You deserve clarity, not confusion.
1. Light & low-pressure
""Hey! Just wanted to say hi—hope everything’s okay on your end.""
2. Honest but kind
""I noticed we haven’t talked in a bit. If you’ve been busy, no worries—I just wanted to check in.""
3. Casual + gives an out
""Not sure if your week’s been wild or if I misread things—but either way, wishing you well :)""
4. Honest + invites closure
""If you’re not feeling this anymore, I totally get it. Just wanted to close the loop instead of wondering.""",Rejection Response,,teen
75,1,1_16,16,"If someone ghosted you, what would you tell yourself?",TRUE,4,"Ghosts, Gaps & Goodbyes",B,B. It’s probably my fault. I must’ve said something weird.,B. It’s normal to replay the conversation in your head and wonder if you messed up. You care—and that’s part of being human.,"But ghosting usually says more about the other person’s communication skills than your worth. If someone disappears without a word, that’s on them—not on you. The right people won’t leave you guessing like this.
But if you want closure or clarity, here’s a gentle message you can send:
""Hey, I’ve been wondering if I said something off. If so, I’d want to know—not to pressure you, just to learn. But if you’re done, that’s okay too.""
Or a shorter version:
""If I said something that felt off, I’m open to hearing it. No pressure to reply—just wanted to say that.""
But you don’t need to say anything unless it will bring peace.
Silence can be the loudest message—and you’re allowed to walk away too.",Rejection Response,,teen
76,1,1_16,16,"If someone ghosted you, what would you tell yourself?",TRUE,4,"Ghosts, Gaps & Goodbyes",C,C. Their loss. I deserve better than vanishing acts.,"C. That’s a strong, self-respecting stance. You know your value, and you’re not begging for crumbs. That’s powerful.","You already know your worth—now protect your peace.

Inspired by Jefferson Fisher, a lawyer who teaches calm communication:

1. Don’t chase.
2. Say (in your own words): “This silence isn’t working for me, so I’m stepping back.”
3. Then go enjoy your life..

You don’t need their reply to move forward.",Rejection Response,,teen
77,1,1_16,16,"If someone ghosted you, what would you tell yourself?",TRUE,4,"Ghosts, Gaps & Goodbyes",OTHER,Other,,,,,teen
78,1,1_17,17,"Sometimes it’s not the breakup—it’s the after.
The silence. The space. The stories you’ll never get to ask.
You’re allowed to miss what mattered.
[playlist:Breakup]

What hurts most after a breakup?",TRUE,4,"Ghosts, Gaps & Goodbyes",A,A. Not knowing if they ever meant it at all.,"A. You keep reaching for meaning, but it slips through. It’s not just the end that hurts—it’s the fear that you never really mattered.","Some people leave without giving answers—but their silence doesn’t erase what you gave. Even if they moved on fast, that doesn’t mean it was nothing. You were there. Fully. That says something about who you are—and that matters.",Post-Breakup Pain,,teen
79,1,1_17,17,What hurts most after a breakup?,TRUE,4,"Ghosts, Gaps & Goodbyes",B,B. One day we were everything. Now we’re strangers.,"B. You lost more than a person. You lost comfort, rhythm, inside jokes. And now there’s this strange quiet where they used to be.",Let the space be what it is for now. You’re not empty—you’re adjusting. That’s what healing looks like at first.,Post-Breakup Pain,,teen
80,1,1_17,17,What hurts most after a breakup?,TRUE,4,"Ghosts, Gaps & Goodbyes",C,"C. Watching them move on while I’m stuck.
Feels like I was the only one hit.","C. It stings when they move on like it was just a bump. You’re stuck in the ache, and they’re posting brunch pics like it never happened.","Their surface doesn’t tell their whole story—and even if it did, this isn’t a race. You’re healing, not performing. Stay with your own timeline. You’re not behind. You’re just in your own story—and that story matters.",Post-Breakup Pain,,teen
81,1,1_17,17,What hurts most after a breakup?,TRUE,4,"Ghosts, Gaps & Goodbyes",OTHER,Something else that stings:,,,,,teen
82,1,1_18,18,How do you act around someone who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",A,A. Ghost mode. I’ll pretend I don’t see them and pray they do the same.,A. You’re keeping distance because facing them feels like reopening the wound. It’s not fear—it’s self-protection. And it makes sense.,"You don’t owe anyone your presence while you’re still healing. But someday, you might look them in the eye—not for them, but to remind yourself you made it through.",Post-Breakup Behavior,,teen
83,1,1_18,18,How do you act around someone who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",B,"B. I act polite but keep it short. No drama, no attention.",B. You keep it clean and quiet. You’re not giving them more of you—just the version that knows how to move on without a scene.,"Staying composed can be its own kind of closure. Just check in with yourself—is the calm real, or are you keeping the peace for everyone but you?",Post-Breakup Behavior,,teen
84,1,1_18,18,How do you act around someone who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",C,"C. I go full chill. Jokes, good hair day, unbothered. Let them wonder.","C. You turn it into a show—cool on the outside, chaos underneath. Part strength, part revenge sparkle. Either way, you’re not giving them the satisfaction.",Power looks good on you. But don’t forget: you can feel the hurt and still glow. You don’t have to fake unbreakable. Real healing is louder than any laugh.,Post-Breakup Behavior,,teen
85,1,1_18,18,How do you act around someone who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",OTHER,Other,,,,,teen
86,1,1_19,19,"Some things never got said.
That doesn’t mean they weren’t true.
You still get to speak your version—even if they never hear it.
What do you wish you could say to the person who broke your heart?",TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",A,"A. Was any of it real, or was I just convenient?",A. You’re carrying confusion that never got closure. It’s not just about being hurt—it’s about feeling disposable. That question still echoes in your head.,"Even if they never answer, your question matters. You deserved clarity. But don’t let their silence decide your worth. You were real—even if they weren’t ready for it.",Heartbreak Reflection,,teen
87,1,1_19,19,What do you wish you could say to the person who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",B,B. I learned a lot—even if it hurt. Thank you.,B. You’re choosing growth over resentment. That doesn’t mean it didn’t hurt—but it means you walked away with something deeper than pain.,Keep holding that grace—but don’t pressure yourself to “be over it.” You can grow from the experience and still feel the sting. Healing doesn’t have to look tidy.,Heartbreak Reflection,,teen
88,1,1_19,19,What do you wish you could say to the person who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",C,"C. You didn’t deserve me.  And deep down, you knew it.","C. You’re done playing small. Whether it’s armor or truth, that edge is protecting something you’re not willing to give away again: yourself.",Anger can be power—but don’t let it turn into a cage. You don’t need revenge to prove your value. You already outgrew the version of you that stayed.,Heartbreak Reflection,,teen
89,1,1_19,19,What do you wish you could say to the person who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",D,D. You still cross my mind more than I admit.,D. You’ve moved on in public—but not all the way in private. That person still lives in the quiet moments. You’re not over it—you’re just good at hiding it.,"Missing them doesn’t mean you’re doing something wrong. Some feelings take longer to leave, even when the person already has. Be gentle with your own timing.",,,teen
90,1,1_19,19,What do you wish you could say to the person who broke your heart?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",OTHER,Something else I’d probably do:,,,,,teen
91,1,1_20,20,"Breakups don’t always end at goodbye.
Sometimes the hardest part is what comes after—the part you watch from afar.
However you react—it’s okay. You’re still healing.
What do you do when your ex starts dating someone new?",TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",A,A. Cry in private and pretend I didn’t see the post.,"A. You’re hurting quietly—and trying to hold it together on the outside. That kind of sadness can feel invisible, but it’s real. And it’s heavy.",You don’t have to be okay right away. Let yourself grieve without shame. It’s not weak to feel the loss—it’s human. And you won’t feel this way forever.,Heartbreak Recovery,,teen
92,1,1_20,20,What do you do when your ex starts dating someone new?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",B,B. Wish them the best (out loud) and secretly hope my person’s way better.,B. You’re choosing peace over bitterness. That doesn’t mean it didn’t sting—it means you’re growing into someone who values yourself enough to let go.,Keep holding that quiet strength. You’re not in a race. The right person won’t pass you by just because someone else moved on first.,Heartbreak Recovery,,teen
93,1,1_20,20,What do you do when your ex starts dating someone new?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",C,"C. Send the post to my group chat with a snarky caption—then mute, block, or glow-up.","C. You turn pain into sass, silence, or self-improvement. It’s a mix of defense and power—and sometimes, that’s what gets you through the day.","Do what helps—but stay honest with yourself. Glowing up feels good, but healing comes from within, not from proving something. You deserve peace, not just revenge confidence.",Heartbreak Recovery,,teen
94,1,1_20,20,What do you do when your ex starts dating someone new?,TRUE,5," The Sky That Stayed
🎵[playlist:Breakup]",OTHER,Other,,,,,teen
95,1,1_21,21,"Sometimes love ends before the truth arrives.
That doesn’t mean you failed—it means you grew.
Even the wrong story can teach you what kind of love is right.

Have you ever realized later that the relationship wasn’t right for you?",TRUE,4,"Ghosts, Gaps & Goodbyes",A,"A. Yes. I just wanted love so badly, I missed the signs.",A. You were craving connection—and that made it easy to overlook what didn’t feel right. You weren’t foolish. You were just hoping.,"That hunger for love doesn’t make you weak—it makes you human. But next time, let your hope include you too: your peace, your instincts, your worth.",Relationship Realization,,teen
96,1,1_21,21,Have you ever realized later that the relationship wasn’t right for you?,TRUE,4,"Ghosts, Gaps & Goodbyes",B,"B. Yes. Looking back, I’m actually thankful it ended. ","B. You saw it clearly—eventually. And even if it hurt at the time, you’re grateful now. That clarity is your reward.","It’s powerful to outgrow something without bitterness. You don’t need a perfect past to build a better future—you just need the lesson, and you’ve got it.",Relationship Realization,,teen
97,1,1_21,21,Have you ever realized later that the relationship wasn’t right for you?,TRUE,4,"Ghosts, Gaps & Goodbyes",C,"C. It wasn’t right, but I still wonder—was it me?","C. You’re still tangled in the aftermath—part humor, part doubt, part replaying what you could’ve done differently.","You don’t need perfect answers to move on. Even if you made mistakes, that doesn’t mean the relationship was right. Sometimes both people were wrong for each other—and that’s okay.",Relationship Realization,,teen
98,1,1_21,21,Have you ever realized later that the relationship wasn’t right for you?,TRUE,4,"Ghosts, Gaps & Goodbyes",OTHER,Other,,,,,teen
99,1,1_22,22,"Some love stories end with closure. Others end with… screenshots.
Either way, if you can laugh now, it means you’ve made it somewhere new.

What’s a moment from a past relationship you laugh about now?",FALSE,4,"Ghosts, Gaps & Goodbyes",A,A. The awkward first date.  I should’ve known when they brought their mom.,"A. You look back with a wince and a smile. It was weird, yes—but at least now it’s comedy material.",Awkward doesn’t mean meaningless. Sometimes the strangest moments teach you the most about what not to accept—and what stories are worth telling later.,,,teen
